Sum of __index_level_0__,Sum of avg_temp_c,Sum of avg_sea_level_pres_hpa,Sum of avg_wind_dir_deg,Sum of avg_wind_speed_kmh,city,competition,country,city_name,Sum of Draw,Sum of max_temp_c,Sum of Loose,Sum of min_temp_c,neutral,Opponent,Sum of peak_wind_gust_kmh,Sum of Point,Sum of precipitation_mm,Result,season,Snow,Sum of snow_depth_mm,stadium,station_id,Sum of TA,Sum of TF,Team,Sum of sunshine_total_min,Sum of TotalTri,TrancheTemp,TranchWind,Sum of Win,world_cup
54680,5.2,1023.9,355,9.9,Dublin,2016 Autumn International,Ireland,Dublin,0,8.9,1,3.5,False,Ireland,,0,0,L,Autumn,false,,Lansdowne Road,03969,27,24,Australia,,51,0-20,moins de 30,0,False
54673,1.4,997.1,266,18,Dublin,2016 Autumn International,Ireland,Dublin,0,5.4,0,0.9,False,New Zealand,,3,0,W,Autumn,false,,Aviva Stadium,03969,21,9,Ireland,,30,0-20,moins de 30,1,False
54387,4.9,979.7,221,36.4,Dublin,2016 Six Nations Championship,Ireland,Dublin,1,8.9,0,2.5,False,Ireland,,1,7.1,D,Winter,false,,Aviva Stadium,03969,16,16,Wales,,32,0-20,30-60,0,False
54421,11.2,1027.1,203,16.2,Dublin,2016 Six Nations Championship,Ireland,Dublin,0,14.8,1,9.5,False,Ireland,,0,0,L,Spring,false,,Aviva Stadium,03969,58,15,Italy,,73,0-20,moins de 30,0,False
54428,5.7,1030.1,45,14.3,Dublin,2016 Six Nations Championship,Ireland,Dublin,0,7.6,1,3.3,False,Ireland,,0,0,L,Spring,false,,Aviva Stadium,03969,35,25,Scotland,,60,0-20,moins de 30,0,False
54421,11.2,1027.1,203,16.2,Dublin,2016 Six Nations Championship,Ireland,Dublin,0,14.8,0,9.5,False,Italy,,3,0,W,Spring,false,,Aviva Stadium,03969,15,58,Ireland,,73,0-20,moins de 30,1,False
54428,5.7,1030.1,45,14.3,Dublin,2016 Six Nations Championship,Ireland,Dublin,0,7.6,0,3.3,False,Scotland,,3,0,W,Spring,false,,Aviva Stadium,03969,25,35,Ireland,,60,0-20,moins de 30,1,False
54387,4.9,979.7,221,36.4,Dublin,2016 Six Nations Championship,Ireland,Dublin,1,8.9,0,2.5,False,Wales,,1,7.1,D,Winter,false,,Aviva Stadium,03969,16,16,Ireland,,32,0-20,30-60,0,False
55044,1.8,1018.9,265,28.1,Dublin,2017 Autumn Internationals,Ireland,Dublin,0,4.4,0,0.1,False,Argentina,,3,0,W,Autumn,false,,Aviva Stadium,03969,19,28,Ireland,,47,0-20,moins de 30,1,False
55044,1.8,1018.9,265,28.1,Dublin,2017 Autumn Internationals,Ireland,Dublin,0,4.4,1,0.1,False,Ireland,,0,0,L,Autumn,false,,Aviva Stadium,03969,28,19,Argentina,,47,0-20,moins de 30,0,False
